mort,category,geography,YEAR,SEX,deaths,population,crude_rate_per_100000,age_standardised_rate_per_100000,rate_ratio,premature_deaths,premature_deaths_percent,premature_deaths_asr_per_100000,potential_years_of_life_lost,pyll_rate_per_1000,potentially_avoidable_deaths,pad_percent,pad_asr_per_100000,median_age
LGA53080,Local Government Area (LGA),Dundas,2023,Males,3,405,770.7,,,2,,,44,113.5,1,,,
LGA53220,Local Government Area (LGA),East Pilbara,2021,Males,12,"6,604",187.0,,,10,84.9,,252,38.3,6,54.2,,53.2
SA390101,Statistical Area Level 3 (SA3),Christmas Island,2019,Females,2,721,277.4,,,1,,,43,61.2,0,,,
SA310805,Statistical Area Level 3 (SA3),Taree - Gloucester,2021,Females,329,"29,067",1131.9,508.2,1.19,89,27.1,191.9,"1,062",42.1,37,41.6,91.5,83.4
LGA50080,Local Government Area (LGA),Albany,2022,Males,191,"19,897",959.9,571.4,0.88,56,29.3,218.5,802,44.9,27,48.2,115.6,81.1
LGA26670,Local Government Area (LGA),Towong,2022,Males,28,"3,182",883.0,479.3,0.74,12,42.8,,183,65.3,5,41.7,,82.0
LGA46510,Local Government Area (LGA),Prospect,2019,Males,65,"10,938",594.3,587.0,0.95,22,33.8,202.3,410,39.3,13,59.1,,84.5
LGA21450,Local Government Area (LGA),Cardinia,2019,Persons,477,"112,006",425.9,481.8,0.92,198,41.5,190.3,"3,476",32.5,112,56.6,109.1,78.6
PHN205,Primary Health Network (PHN),Murray,2023,Persons,"6,074","649,337",935.5,558.5,1.09,"1,877",30.9,226.9,"27,223",46.7,918,48.9,119.3,82.0
LGA14750,Local Government Area (LGA),Leeton,2021,Persons,97,"11,500",846.9,586.0,1.16,32,33.1,256.5,612,58.1,15,45.5,,82.2
SA331104,Statistical Area Level 3 (SA3),Jimboomba,2023,Persons,254,"70,937",358.1,482.9,0.94,131,51.6,194.6,"2,272",33.3,70,53.4,103.8,74.5
LGA21890,Local Government Area (LGA),Darebin,2021,Persons,"1,051","150,296",699.3,510.0,1.01,288,27.4,198.5,"4,391",31.6,132,45.8,91.8,84.5
LGA15650,Local Government Area (LGA),Muswellbrook,2020,Females,46,"7,950",578.6,487.6,1.19,17,37.0,,264,35.5,9,52.9,,81.0
LGA51890,Local Government Area (LGA),Collie,2022,Males,40,"4,650",860.2,588.0,0.91,19,47.5,,268,62.8,10,52.6,,75.5
LGA37010,Local Government Area (LGA),Townsville,2020,Males,634,"97,648",649.1,739.6,1.27,289,45.6,284.0,"5,441",58.4,154,53.3,154.2,76.8
LGA11300,Local Government Area (LGA),Burwood,2023,Persons,221,"42,601",518.2,391.0,0.76,55,25.1,140.8,906,22.9,18,32.9,,84.4
LGA51610,Local Government Area (LGA),Chapman Valley,2019,Persons,8,"1,562",494.5,,,4,,,52,35.6,2,,,
SA331701,Statistical Area Level 3 (SA3),Toowoomba,2022,Persons,"1,288","167,199",770.3,530.5,0.97,398,30.9,212.7,"6,079",39.8,186,46.7,103.4,82.5
SA321305,Statistical Area Level 3 (SA3),Wyndham,2020,Persons,889,"292,388",304.0,545.2,1.11,411,46.2,183.3,"8,626",30.3,201,48.9,86.4,77.0
SA350602,Statistical Area Level 3 (SA3),Belmont - Victoria Park,2020,Persons,426,"77,801",547.6,515.3,1.05,172,40.4,224.3,"3,152",42.8,95,55.2,122.2,79.4
REM4,Remoteness area,Remote Australia,2022,Persons,"2,009","301,745",665.9,621.7,1.13,"1,025",51.0,307.4,"19,288",67.8,579,56.5,180.1,74.6
SA4202,Statistical Area Level 4 (SA4),Bendigo,2019,Males,695,"80,137",867.3,644.8,1.04,280,40.3,289.1,"4,481",60.6,143,51.1,153.2,79.3
LGA59330,Local Government Area (LGA),Wyalkatchem,2021,Females,2,231,865.8,,,0,,,5,24.8,0,,,
LGA12000,Local Government Area (LGA),Coolamon,2019,Females,12,"2,035",569.4,,,3,28.6,,28,15.0,2,,,84.5
LGA14600,Local Government Area (LGA),Lachlan,2021,Males,35,"3,101",1139.4,767.3,1.29,14,40.7,,207,73.1,7,47.0,,78.5
LGA58540,Local Government Area (LGA),Victoria Plains,2021,Persons,6,843,731.2,,,3,,,37,47.9,1,,,
SA360202,Statistical Area Level 3 (SA3),Meander Valley - West Tamar,2020,Females,62,"11,929",519.7,336.5,0.82,24,38.7,132.7,283,26.1,14,58.3,,80.2
LGA24650,Local Government Area (LGA),Melton,2020,Males,293,"86,678",338.0,569.7,0.98,158,53.9,217.7,"3,262",38.7,82,51.9,111.9,73.7
LGA52800,Local Government Area (LGA),Derby-West Kimberley,2019,Males,27,"4,151",652.6,,,24,88.9,,503,122.9,16,66.6,,59.5
STE10,State and territory,Australia (total),2021,Persons,"171,469","25,685,412",667.6,507.2,1.0,"56,665",33.0,195.7,"893,170",37.5,"27,320",48.2,97.0,82.0
LGA21110,Local Government Area (LGA),Boroondara,2023,Persons,"1,173","174,537",672.1,408.7,0.8,222,18.9,114.2,"3,402",21.4,97,43.7,50.7,86.9
LGA12900,Local Government Area (LGA),Forbes,2023,Males,69,"4,652",1472.6,913.8,1.51,27,39.2,462.9,390,93.8,17,62.0,,79.5
LGA51710,Local Government Area (LGA),Christmas Island,2021,Females,0,686,,,,,,,,,,,,
SA330502,Statistical Area Level 3 (SA3),Brisbane Inner - East,2019,Persons,141,"44,822",314.6,417.5,0.8,61,43.3,158.5,"1,086",25.1,38,62.3,100.6,78.1
LGA13310,Local Government Area (LGA),Goulburn Mulwaree,2021,Females,153,"15,874",966.5,508.5,1.19,38,24.7,171.6,433,30.5,21,54.4,92.4,84.8
SA4118,Statistical Area Level 4 (SA4),Sydney - Eastern Suburbs,2022,Males,876,"128,058",684.1,549.6,0.85,253,28.9,198.4,"3,904",32.8,105,41.5,82.0,82.8
SA330904,Statistical Area Level 3 (SA3),Gold Coast Hinterland,2020,Males,60,"10,009",599.5,477.9,0.82,29,48.3,207.7,358,38.7,15,51.7,,76.0
LGA18020,Local Government Area (LGA),Warrumbungle Shire,2019,Females,48,"4,603",1034.5,517.0,1.18,18,37.1,,185,45.4,5,28.7,,81.9
SA311003,Statistical Area Level 3 (SA3),Moree - Narrabri,2023,Persons,214,"24,906",859.2,638.7,1.25,82,38.3,275.5,"1,321",57.6,39,47.6,133.9,78.7
LGA45290,Local Government Area (LGA),Norwood Payneham and St Peters,2021,Males,146,"18,203",802.1,535.4,0.9,45,30.8,224.2,851,51.1,22,48.9,119.0,83.2
LGA41140,Local Government Area (LGA),Clare and Gilbert Valleys,2023,Males,47,"4,662",1017.6,609.4,1.01,16,34.1,,305,73.4,9,56.1,,78.5
LGA42600,Local Government Area (LGA),Holdfast Bay,2021,Females,213,"19,750",1080.0,446.7,1.05,54,25.3,189.3,676,39.6,33,61.9,117.0,87.5
SA311504,Statistical Area Level 3 (SA3),Rouse Hill - McGraths Hill,2020,Persons,117,"50,984",229.5,395.7,0.81,44,37.6,101.2,836,16.9,19,43.2,,80.3
LGA16350,Local Government Area (LGA),Penrith,2020,Males,576,"107,796",534.6,659.0,1.13,298,51.7,281.5,"5,084",49.2,146,49.1,138.4,74.2
SA4203,Statistical Area Level 4 (SA4),Geelong,2023,Persons,"2,735","341,934",799.9,537.9,1.05,806,29.5,198.1,"11,847",38.0,390,48.4,101.6,82.5
SA330403,Statistical Area Level 3 (SA3),Sherwood - Indooroopilly,2020,Females,97,"29,009",334.4,301.9,0.74,23,23.7,87.9,419,15.4,13,56.5,,83.2
LGA33980,Local Government Area (LGA),Isaac,2021,Persons,56,"22,419",249.8,452.5,0.89,39,69.6,205.4,858,39.0,23,59.0,108.7,65.0
SA331901,Statistical Area Level 3 (SA3),Bundaberg,2023,Males,553,"48,338",1144.0,671.7,1.11,207,37.4,329.2,"3,196",75.0,104,50.2,188.1,78.9
SA330202,Statistical Area Level 3 (SA3),Chermside,2022,Persons,568,"76,171",745.7,494.2,0.9,134,23.6,180.3,"2,224",31.9,63,47.0,85.2,85.3
SA330201,Statistical Area Level 3 (SA3),Bald Hills - Everton Park,2021,Persons,261,"46,713",558.7,401.9,0.79,59,22.6,119.9,"1,019",23.6,29,49.2,60.9,84.4
SA4305,Statistical Area Level 4 (SA4),Brisbane Inner City,2022,Males,700,"152,596",458.7,597.7,0.92,282,40.3,208.1,"5,460",37.2,149,52.8,106.7,78.7
SEG8,Socioeconomic group,Unknown/missing,2023,Females,272,,,,,,,,,,,,,
SA330803,Statistical Area Level 3 (SA3),Rockhampton,2019,Persons,908,"120,390",754.2,599.3,1.15,357,39.3,265.2,"5,947",53.1,181,50.7,138.3,80.5
LGA21370,Local Government Area (LGA),Campaspe,2020,Persons,426,"38,378",1110.7,616.1,1.25,134,31.3,258.0,"1,678",49.1,69,51.5,145.9,82.1
LGA25340,Local Government Area (LGA),Mornington Peninsula,2019,Males,741,"82,005",903.6,514.1,0.83,211,28.5,196.2,"2,883",39.4,103,48.8,105.2,82.1
SA331901,Statistical Area Level 3 (SA3),Bundaberg,2022,Males,584,"47,485",1229.9,696.1,1.08,183,31.3,270.8,"2,349",55.9,93,50.8,155.0,80.5
LGA45400,Local Government Area (LGA),Orroroo Carrieton,2021,Males,5,446,1053.3,,,2,,,21,52.7,1,,,
LGA59370,Local Government Area (LGA),York,2023,Females,15,"1,775",871.9,,,4,26.1,,69,45.6,2,,,78.8
LGA55390,Local Government Area (LGA),Menzies,2020,Persons,3,549,510.5,,,3,,,76,139.9,2,,,
LGA45290,Local Government Area (LGA),Norwood Payneham and St Peters,2020,Persons,280,"37,958",737.7,412.6,0.84,69,24.6,157.4,"1,007",29.5,30,43.5,69.8,85.3
LGA17900,Local Government Area (LGA),Walgett,2020,Males,45,"2,908",1535.4,1232.8,2.12,29,66.0,893.7,578,216.8,17,58.1,,66.5
LGA18250,Local Government Area (LGA),Willoughby,2022,Females,253,"39,151",646.7,397.5,0.86,41,16.1,96.4,629,17.5,18,43.7,,89.0
LGA55810,Local Government Area (LGA),Mount Magnet,2023,Persons,5,706,652.2,,,3,,,92,136.2,2,,,
LGA43710,Local Government Area (LGA),Lower Eyre Peninsula,2022,Persons,56,"6,091",917.0,532.6,0.97,20,35.8,226.9,242,44.3,10,50.9,,81.1
LGA11350,Local Government Area (LGA),Byron,2021,Persons,230,"36,107",636.7,542.1,1.07,81,35.0,169.8,"1,252",36.8,31,38.8,73.9,82.5
SA4317,Statistical Area Level 4 (SA4),Toowoomba,2023,Persons,"1,296","170,792",758.8,521.3,1.02,393,30.3,209.4,"6,587",42.3,202,51.4,109.9,81.9
SA331902,Statistical Area Level 3 (SA3),Burnett,2023,Females,209,"25,504",819.5,466.7,1.08,70,33.5,194.8,"1,026",45.3,41,58.6,113.3,81.1
SA320901,Statistical Area Level 3 (SA3),Banyule,2020,Males,427,"63,844",668.8,526.4,0.9,149,34.9,209.0,"2,173",36.7,76,51.0,107.8,81.0
LGA51680,Local Government Area (LGA),Chittering,2021,Persons,17,"6,099",278.7,,,9,52.9,,171,29.9,6,,,73.5
LGA21670,Local Government Area (LGA),Central Goldfields,2021,Males,97,"6,649",1455.8,794.8,1.33,38,39.7,443.8,582,101.5,21,53.6,259.9,79.0
SA4212,Statistical Area Level 4 (SA4),Melbourne - South East,2019,Males,"2,366","432,531",547.0,573.0,0.93,901,38.1,223.7,"16,227",39.6,470,52.2,116.3,79.8
LGA50560,Local Government Area (LGA),Beverley,2021,Females,8,857,877.9,,,2,,,15,20.2,1,,,
SA4312,Statistical Area Level 4 (SA4),Mackay - Isaac - Whitsunday,2019,Persons,"1,004","177,568",565.4,572.7,1.1,415,41.3,217.5,"7,402",43.9,226,54.5,120.4,78.3
LGA34710,Local Government Area (LGA),Longreach,2022,Males,23,"1,857",1238.6,,,8,34.8,,96,55.0,7,,,81.8
LGA45090,Local Government Area (LGA),Naracoorte Lucindale,2019,Males,49,"4,613",1062.2,804.6,1.3,20,40.8,365.0,297,69.5,12,60.0,,83.5
LGA36720,Local Government Area (LGA),Sunshine Coast,2020,Females,"1,173","174,824",670.8,379.8,0.93,266,22.7,115.7,"3,602",22.8,116,43.5,51.1,85.9
LGA23670,Local Government Area (LGA),Knox,2019,Males,521,"80,477",647.4,583.8,0.95,204,39.2,232.2,"3,505",46.4,93,45.6,109.4,79.8
LGA12850,Local Government Area (LGA),Fairfield,2020,Females,578,"106,879",540.6,398.0,0.97,158,27.4,133.5,"2,589",26.1,66,41.7,58.6,83.9
SA331303,Statistical Area Level 3 (SA3),Caboolture Hinterland,2020,Males,58,"8,124",713.9,676.6,1.16,27,46.6,276.2,446,58.3,19,70.4,,76.0
SA4406,Statistical Area Level 4 (SA4),South Australia - Outback,2019,Persons,688,"85,435",805.3,632.1,1.21,290,42.2,293.6,"4,854",61.3,150,51.7,158.0,78.8
PHN103,Primary Health Network (PHN),Western Sydney,2019,Males,"2,373","522,469",454.3,565.8,0.92,"1,084",45.7,228.0,"19,381",38.7,526,48.5,109.5,76.7
LGA53150,Local Government Area (LGA),East Fremantle,2021,Females,40,"4,212",949.7,515.4,1.21,7,17.5,,126,33.1,1,,,86.5
LGA32500,Local Government Area (LGA),Cook,2019,Persons,25,"4,596",541.2,,,17,67.4,,336,75.4,13,75.9,,57.2
LGA51960,Local Government Area (LGA),Coolgardie,2021,Persons,19,"3,635",523.3,,,14,75.0,,153,43.6,6,38.9,,70.0
SA331401,Statistical Area Level 3 (SA3),The Hills District,2021,Females,158,"45,688",345.8,351.8,0.82,51,32.3,98.1,916,21.2,18,35.3,,80.9
LGA14650,Local Government Area (LGA),Lake Macquarie,2023,Males,"1,065","108,035",985.4,659.8,1.09,359,33.7,273.2,"4,982",50.9,174,48.5,134.9,80.4
SA312701,Statistical Area Level 3 (SA3),Bringelly - Green Valley,2021,Males,264,"71,831",367.5,505.9,0.85,151,57.2,239.4,"2,676",38.5,69,45.7,109.6,71.8
LGA59310,Local Government Area (LGA),Wongan-Ballidu,2022,Persons,10,"1,326",766.1,,,4,40.0,,53,44.7,2,,,77.0
LGA47630,Local Government Area (LGA),Tatiara,2022,Males,31,"3,674",843.8,669.4,1.03,10,32.3,,142,41.8,7,70.0,,81.5
STE07,State and territory,Australian Capital Territory,2020,Females,"1,062","225,327",471.3,407.6,0.99,308,29.0,133.2,"5,423",25.6,146,47.4,64.3,84.5
SA310801,Statistical Area Level 3 (SA3),Great Lakes,2023,Males,272,"16,405",1658.0,778.3,1.29,81,29.8,372.2,"1,149",83.6,37,45.7,211.1,80.3
LGA36580,Local Government Area (LGA),Somerset,2023,Persons,192,"26,251",731.6,555.8,1.08,87,45.3,252.9,"1,262",52.6,53,60.9,160.0,76.3
STE09,State and territory,Other Territories,2023,Females,12,"2,346",511.5,,,4,33.3,,94,43.5,2,,,83.0
SA351101,Statistical Area Level 3 (SA3),Esperance,2023,Males,72,"8,621",835.2,597.1,0.99,28,38.9,269.2,366,46.5,19,67.9,,78.4
LGA24250,Local Government Area (LGA),Mansfield,2021,Females,30,"5,109",587.2,353.6,0.83,8,25.8,,85,18.4,3,,,86.2
LGA17080,Local Government Area (LGA),Snowy Valleys,2021,Males,92,"7,538",1218.0,773.6,1.3,32,34.8,296.9,397,58.4,14,43.7,,77.8
LGA58470,Local Government Area (LGA),Upper Gascoyne,2021,Females,0,83,,,,,,,,,,,,
SA380109,Statistical Area Level 3 (SA3),Woden Valley,2019,Females,167,"19,424",859.8,439.2,1.0,25,15.0,120.3,375,21.6,9,36.0,,88.4
SA321601,Statistical Area Level 3 (SA3),Campaspe,2019,Females,183,"19,265",949.9,458.1,1.05,44,24.0,158.9,409,23.9,22,50.0,78.3,85.2
SA312102,Statistical Area Level 3 (SA3),Hornsby,2021,Persons,511,"87,691",582.7,446.0,0.88,125,24.5,132.0,"1,893",23.2,59,47.2,61.5,85.0
LGA10050,Local Government Area (LGA),Albury,2021,Persons,579,"56,067",1033.0,694.1,1.37,201,34.7,301.3,"2,951",57.6,93,46.1,142.3,81.5
SA330907,Statistical Area Level 3 (SA3),Ormeau - Oxenford,2020,Females,281,"78,444",358.2,443.8,1.08,98,34.9,130.6,"1,730",23.0,42,42.9,56.1,81.0
SA370202,Statistical Area Level 3 (SA3),Barkly,2019,Males,18,"3,085",583.5,,,15,83.3,,514,169.6,12,80.0,,52.0
SA311702,Statistical Area Level 3 (SA3),Marrickville - Sydenham - Petersham,2023,Persons,298,"56,334",529.0,496.0,0.97,107,35.9,203.9,"1,645",31.0,52,48.6,96.6,80.7
LGA25710,Local Government Area (LGA),Nillumbik,2022,Females,164,"31,768",516.2,418.2,0.91,33,20.1,75.4,364,12.3,12,36.4,,88.2
SA320605,Statistical Area Level 3 (SA3),Port Phillip,2022,Females,213,"53,061",401.4,357.9,0.78,74,34.7,135.6,"1,279",25.7,38,51.4,70.9,82.2
SA380111,Statistical Area Level 3 (SA3),Uriarra - Namadgi,2022,Males,3,326,920.2,,,3,,,19,59.2,1,,,
LGA24210,Local Government Area (LGA),Manningham,2021,Persons,968,"125,829",769.0,382.5,0.75,186,19.2,124.4,"2,659",23.9,74,39.8,51.2,86.3
SEG4,Socioeconomic group,Quintile 4,2022,Males,"16,385","2,605,776",628.8,585.3,0.9,"5,757",35.1,212.5,"93,242",38.1,"2,788",48.4,104.0,80.5
SEG3,Socioeconomic group,Quintile 3,2019,Females,"14,909","2,514,211",593.0,417.5,0.95,"3,965",26.6,139.5,"61,005",26.2,"1,861",46.9,67.1,84.9
SA311501,Statistical Area Level 3 (SA3),Baulkham Hills,2020,Males,428,"76,826",557.1,486.5,0.83,133,31.1,153.8,"1,754",24.4,59,44.4,69.3,82.0
SA320504,Statistical Area Level 3 (SA3),Latrobe Valley,2019,Males,388,"37,426",1036.7,804.1,1.3,159,41.0,360.7,"2,473",71.4,82,51.6,194.0,79.2
SA331203,Statistical Area Level 3 (SA3),Whitsunday,2023,Males,73,"12,887",566.5,595.3,0.98,35,47.9,233.5,599,49.3,21,60.0,144.4,76.5
LGA54760,Local Government Area (LGA),Kulin,2019,Females,2,370,442.0,,,0,,,16,46.7,0,,,
LGA23110,Local Government Area (LGA),Hobsons Bay,2023,Males,334,"46,108",724.0,613.4,1.01,111,33.2,221.4,"1,814",42.1,54,48.4,109.8,80.7
LGA10650,Local Government Area (LGA),Berrigan,2019,Males,62,"4,436",1398.3,679.0,1.1,19,30.0,,203,51.9,8,42.9,,81.0
SA312403,Statistical Area Level 3 (SA3),Penrith,2021,Males,447,"79,215",564.3,671.8,1.13,196,43.8,251.4,"3,334",44.0,85,43.4,110.0,77.0
LGA21890,Local Government Area (LGA),Darebin,2020,Males,553,"76,556",722.3,638.2,1.1,191,34.5,265.2,"3,075",42.8,91,47.6,125.7,81.5
LGA55320,Local Government Area (LGA),Melville,2021,Persons,725,"106,819",678.6,374.4,0.74,140,19.3,108.4,"2,275",23.5,69,49.5,56.6,87.3
SA320301,Statistical Area Level 3 (SA3),Barwon - West,2022,Females,69,"11,217",615.1,532.8,1.16,22,31.9,171.0,368,34.8,9,40.9,,83.5
LGA48260,Local Government Area (LGA),Walkerville,2021,Persons,89,"8,086",1100.7,508.7,1.0,14,15.7,,241,33.9,8,57.1,,87.1
LGA20260,Local Government Area (LGA),Ararat,2022,Females,57,"5,543",1023.2,475.4,1.03,9,16.0,,181,37.4,2,,,87.0
SA340601,Statistical Area Level 3 (SA3),Eyre Peninsula and South West,2020,Females,195,"28,669",680.2,415.9,1.01,55,28.2,153.2,743,28.6,26,47.3,78.8,83.5
LGA13450,Local Government Area (LGA),Griffith,2021,Persons,215,"27,254",789.7,577.5,1.14,71,32.9,243.2,"1,198",47.6,36,51.1,128.1,81.5
LGA47290,Local Government Area (LGA),Southern Mallee,2021,Females,5,943,504.1,,,1,,,20,24.7,0,,,
SA311102,Statistical Area Level 3 (SA3),Lake Macquarie - West,2021,Females,447,"43,108",1036.9,518.0,1.21,91,20.4,167.0,"1,314",34.4,48,52.7,91.8,86.1
SA320303,Statistical Area Level 3 (SA3),Surf Coast - Bellarine Peninsula,2022,Males,365,"46,938",777.6,503.2,0.78,108,29.6,155.1,"1,221",28.7,59,54.6,87.1,82.1
LGA23110,Local Government Area (LGA),Hobsons Bay,2020,Persons,618,"95,037",650.4,507.6,1.03,190,30.7,184.6,"3,030",34.2,101,53.1,97.8,82.8
SA321603,Statistical Area Level 3 (SA3),Shepparton,2023,Females,245,"34,576",708.6,422.8,0.98,62,25.3,158.5,"1,061",34.0,33,53.2,89.6,85.2
SA370103,Statistical Area Level 3 (SA3),Litchfield,2023,Females,34,"10,305",329.9,379.2,0.88,18,52.9,,337,34.1,5,27.8,,74.7
LGA31000,Local Government Area (LGA),Brisbane,2019,Males,"3,287","617,306",532.5,586.4,0.95,"1,327",40.4,226.9,"23,428",39.8,670,50.5,114.3,79.0
SA312405,Statistical Area Level 3 (SA3),St Marys,2023,Females,153,"28,836",530.6,520.3,1.21,54,35.3,173.6,904,33.1,30,55.6,94.0,80.2
SA321302,Statistical Area Level 3 (SA3),Hobsons Bay,2019,Males,304,"44,378",685.0,602.2,0.97,115,37.8,240.0,"1,653",39.6,58,50.4,125.0,80.2
SA310801,Statistical Area Level 3 (SA3),Great Lakes,2021,Persons,528,"33,203",1590.2,595.4,1.17,140,26.5,229.7,"1,422",51.2,60,42.9,103.6,83.2
SA310902,Statistical Area Level 3 (SA3),Lower Murray,2020,Females,45,"6,293",715.1,452.9,1.1,12,26.7,,160,27.9,8,66.7,,84.2
LGA12870,Local Government Area (LGA),Federation,2019,Persons,157,"12,622",1243.1,622.7,1.19,48,30.7,273.3,673,61.1,26,54.1,154.9,83.5
SA311602,Statistical Area Level 3 (SA3),Blacktown - North,2023,Females,158,"82,820",190.8,333.9,0.77,59,37.3,94.2,"1,062",13.2,29,49.2,45.9,79.8
LGA10180,Local Government Area (LGA),Armidale Regional,2022,Persons,262,"29,360",893.3,603.5,1.1,86,32.8,260.2,"1,288",48.2,38,43.9,118.3,82.5
SEG5,Socioeconomic group,Quintile 5 (highest),2021,Males,"14,025","2,520,999",556.3,478.3,0.8,"4,514",32.2,163.0,"70,420",29.9,"2,166",48.0,80.3,82.0
LGA14850,Local Government Area (LGA),Lismore,2019,Persons,383,"44,241",866.2,606.2,1.16,141,36.9,261.5,"2,380",58.4,73,51.4,140.7,80.8
SA4217,Statistical Area Level 4 (SA4),Warrnambool and South West,2020,Males,569,"63,208",900.2,618.9,1.06,233,40.9,281.9,"3,370",58.3,130,55.8,164.9,78.8
LGA22670,Local Government Area (LGA),Greater Dandenong,2023,Males,568,"83,290",682.0,607.1,1.0,220,38.7,266.1,"3,302",42.4,108,49.1,132.0,79.2
REM8,Remoteness area,Unknown/missing,2023,Persons,765,,,,,,,,,,,,,
LGA42600,Local Government Area (LGA),Holdfast Bay,2022,Persons,409,"38,055",1073.7,506.9,0.92,112,27.5,212.3,"1,520",45.8,47,41.8,88.6,83.8
LGA22910,Local Government Area (LGA),Hepburn,2021,Persons,145,"16,496",878.8,500.4,0.99,49,33.5,190.2,662,44.7,15,31.7,,81.0
LGA50840,Local Government Area (LGA),Bridgetown-Greenbushes,2020,Persons,36,"5,216",697.9,423.3,0.86,14,38.8,,139,29.4,7,52.6,,78.9
LGA32310,Local Government Area (LGA),Charters Towers,2019,Persons,84,"11,890",706.5,516.9,0.99,29,34.5,209.0,491,44.9,15,51.7,,80.4
LGA41010,Local Government Area (LGA),Ceduna,2022,Females,13,"1,777",732.9,,,3,22.3,,46,28.2,2,,,84.3
LGA54900,Local Government Area (LGA),Lake Grace,2019,Males,4,687,519.9,,,1,,,34,53.3,1,,,
LGA52240,Local Government Area (LGA),Cranbrook,2022,Males,6,587,1020.9,,,4,,,40,73.8,2,,,
SA330905,Statistical Area Level 3 (SA3),Mudgeeraba - Tallebudgera,2022,Males,103,"18,010",571.9,579.5,0.9,32,31.1,161.8,416,24.5,16,50.0,,80.6
LGA13800,Local Government Area (LGA),Hawkesbury,2019,Females,178,"33,520",531.3,404.1,0.92,59,33.2,148.0,655,21.0,26,44.5,67.0,83.3
LGA54170,Local Government Area (LGA),Joondalup,2022,Males,419,"82,644",507.3,445.8,0.69,168,40.1,165.5,"2,318",30.0,97,58.0,100.2,78.2
SA330305,Statistical Area Level 3 (SA3),Rocklea - Acacia Ridge,2020,Persons,329,"67,616",486.6,567.3,1.16,119,36.2,189.9,"2,351",36.3,66,55.5,105.9,81.9
SA311303,Statistical Area Level 3 (SA3),Wagga Wagga,2023,Persons,891,"100,626",885.5,580.8,1.13,280,31.4,241.7,"4,149",45.4,138,49.3,121.1,81.6
SA370103,Statistical Area Level 3 (SA3),Litchfield,2022,Persons,100,"22,638",441.7,531.5,0.97,65,65.0,260.8,"1,358",62.3,39,60.0,167.3,69.0
LGA40700,Local Government Area (LGA),Burnside,2021,Persons,322,"46,425",693.6,350.3,0.69,68,21.1,110.8,917,22.2,24,35.3,43.3,85.8
SA4604,Statistical Area Level 4 (SA4),West and North West,2021,Males,575,"59,212",971.1,673.4,1.13,231,40.2,310.1,"3,608",67.0,138,59.7,193.1,78.9
SA320607,Statistical Area Level 3 (SA3),Yarra,2023,Males,220,"48,406",454.5,543.4,0.9,94,42.7,219.6,"1,473",31.8,55,58.5,125.1,78.4
LGA18500,Local Government Area (LGA),Woollahra,2020,Females,162,"29,563",547.2,311.2,0.76,37,22.6,103.6,466,17.5,15,40.0,,83.6
SA321701,Statistical Area Level 3 (SA3),Glenelg - Southern Grampians,2022,Females,194,"18,380",1055.5,488.7,1.06,46,23.7,182.7,695,43.1,17,37.0,,86.1
LGA58190,Local Government Area (LGA),Tammin,2022,Persons,5,396,1201.7,,,1,,,19,52.2,1,,,
