mort,category,geography,YEAR,SEX,deaths,population,crude_rate_per_100000,age_standardised_rate_per_100000,rate_ratio,premature_deaths,premature_deaths_percent,premature_deaths_asr_per_100000,potential_years_of_life_lost,pyll_rate_per_1000,potentially_avoidable_deaths,pad_percent,pad_asr_per_100000,median_age
REM3,Remoteness area,Outer Regional Australia,2019,Males,"9,149","1,041,298",878.6,704.3,1.14,"4,105",44.9,319.4,"65,012",67.2,"2,244",54.7,182.8,76.9
REM3,Remoteness area,Outer Regional Australia,2020,Males,"8,946","1,048,588",853.2,668.1,1.15,"4,024",45.0,308.7,"63,911",65.8,"2,199",54.7,177.7,76.9
REM3,Remoteness area,Outer Regional Australia,2021,Males,"9,338","1,054,982",885.2,675.2,1.13,"4,086",43.8,307.2,"64,449",66.1,"2,130",52.1,168.7,77.2
REM3,Remoteness area,Outer Regional Australia,2022,Males,"10,242","1,062,094",964.3,709.0,1.1,"4,366",42.6,320.6,"65,037",66.6,"2,160",49.5,167.7,77.5
REM3,Remoteness area,Outer Regional Australia,2023,Males,"10,052","1,071,636",938.0,677.8,1.12,"4,213",41.9,312.0,"63,871",65.1,"2,163",51.3,168.4,77.8
REM4,Remoteness area,Remote Australia,2019,Males,"1,052","153,240",686.5,724.0,1.17,576,54.8,346.7,"11,103",76.1,319,55.4,199.2,73.1
REM4,Remoteness area,Remote Australia,2020,Males,"1,074","154,253",696.1,715.1,1.23,580,54.0,342.9,"10,710",73.1,313,54.0,191.9,73.2
REM4,Remoteness area,Remote Australia,2021,Males,"1,103","155,327",710.3,711.3,1.19,605,54.8,347.3,"10,791",73.3,338,55.9,199.1,73.1
REM4,Remoteness area,Remote Australia,2022,Males,"1,160","156,429",741.3,711.7,1.1,641,55.3,366.6,"12,042",81.5,366,57.1,218.6,72.9
REM4,Remoteness area,Remote Australia,2023,Males,"1,164","157,512",739.0,695.0,1.15,609,52.3,343.2,"10,850",73.1,343,56.3,200.3,74.2
REM5,Remoteness area,Very Remote Australia,2019,Males,646,"104,333",619.5,844.6,1.37,455,70.4,455.9,"9,775",96.4,279,61.3,278.6,65.8
REM5,Remoteness area,Very Remote Australia,2020,Males,620,"103,248",600.5,799.2,1.37,428,69.1,430.2,"9,970",99.6,262,61.3,263.8,66.1
REM5,Remoteness area,Very Remote Australia,2021,Males,694,"102,552",676.5,926.4,1.55,456,65.7,452.2,"9,696",97.6,279,61.2,277.2,67.0
REM5,Remoteness area,Very Remote Australia,2022,Males,678,"102,883",659.2,861.1,1.33,444,65.4,435.2,"9,549",96.0,292,65.9,290.9,68.2
REM5,Remoteness area,Very Remote Australia,2023,Males,690,"103,865",664.2,829.3,1.37,465,67.5,451.6,"10,373",103.6,268,57.6,262.4,66.4
REM8,Remoteness area,Unknown/missing,2019,Males,434,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2020,Males,355,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2021,Males,234,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2022,Males,366,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2023,Males,503,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM9,Remoteness area,Australia (total),2019,Males,"86,686","12,577,221",689.2,617.8,1.0,"34,928",40.3,256.2,"577,212",48.9,"18,058",51.7,135.5,79.0
REM9,Remoteness area,Australia (total),2020,Males,"84,588","12,728,639",664.5,582.6,1.0,"34,026",40.2,244.1,"554,302",46.5,"17,514",51.5,128.7,78.9
REM9,Remoteness area,Australia (total),2021,Males,"89,401","12,749,410",701.2,597.0,1.0,"34,742",38.9,245.9,"558,212",46.9,"17,349",49.9,126.0,79.4
REM9,Remoteness area,Australia (total),2022,Males,"99,924","12,910,149",774.0,646.9,1.0,"37,246",37.3,261.2,"587,915",48.9,"18,357",49.3,131.9,79.7
REM9,Remoteness area,Australia (total),2023,Males,"96,180","13,232,590",726.8,604.8,1.0,"35,955",37.4,249.2,"571,549",46.5,"17,805",49.5,126.2,79.6
REM1,Remoteness area,Major Cities of Australia,2019,Females,"53,493","9,261,668",577.6,419.7,0.96,"13,791",25.8,140.2,"218,959",25.5,"6,346",46.0,65.6,85.3
REM1,Remoteness area,Major Cities of Australia,2020,Females,"51,410","9,386,871",547.7,393.3,0.96,"13,314",25.9,131.7,"210,110",24.2,"6,147",46.2,62.1,85.2
REM1,Remoteness area,Major Cities of Australia,2021,Females,"54,776","9,370,854",584.5,409.0,0.96,"13,877",25.3,135.6,"216,578",25.0,"6,205",44.7,61.8,85.3
REM1,Remoteness area,Major Cities of Australia,2022,Females,"61,044","9,497,701",642.7,444.3,0.96,"14,786",24.2,143.3,"229,554",26.2,"6,517",44.1,64.6,85.5
REM1,Remoteness area,Major Cities of Australia,2023,Females,"57,744","9,768,826",591.1,411.4,0.95,"14,096",24.4,134.2,"217,375",24.2,"6,275",44.5,60.8,85.2
REM2,Remoteness area,Inner Regional Australia,2019,Females,"17,695","2,243,106",788.9,462.8,1.06,"4,732",26.7,162.2,"65,919",32.4,"2,256",47.7,79.9,84.6
REM2,Remoteness area,Inner Regional Australia,2020,Females,"16,874","2,273,394",742.2,431.8,1.05,"4,643",27.5,156.3,"65,409",31.8,"2,212",47.6,77.5,84.3
REM2,Remoteness area,Inner Regional Australia,2021,Females,"18,404","2,299,768",800.3,455.5,1.07,"5,005",27.2,163.3,"69,068",33.3,"2,259",45.1,77.6,84.3
REM2,Remoteness area,Inner Regional Australia,2022,Females,"20,308","2,331,471",871.0,486.6,1.06,"5,249",25.8,170.0,"72,892",34.9,"2,384",45.4,80.7,84.6
REM2,Remoteness area,Inner Regional Australia,2023,Females,"19,638","2,363,441",830.9,463.0,1.07,"5,168",26.3,165.6,"72,092",34.1,"2,401",46.5,80.2,84.1
REM3,Remoteness area,Outer Regional Australia,2019,Females,"7,312","1,016,757",719.2,486.5,1.11,"2,275",31.1,184.6,"35,654",38.2,"1,133",49.8,95.7,83.2
REM3,Remoteness area,Outer Regional Australia,2020,Females,"7,119","1,023,239",695.7,463.9,1.13,"2,224",31.2,176.1,"34,843",37.2,"1,112",50.0,92.1,82.7
REM3,Remoteness area,Outer Regional Australia,2021,Females,"7,537","1,027,685",733.4,477.3,1.12,"2,348",31.2,181.1,"35,688",38.0,"1,139",48.5,92.6,82.9
REM3,Remoteness area,Outer Regional Australia,2022,Females,"8,090","1,036,318",780.6,495.3,1.07,"2,515",31.1,189.9,"36,914",39.2,"1,181",46.9,92.6,82.9
REM3,Remoteness area,Outer Regional Australia,2023,Females,"7,973","1,045,989",762.2,475.9,1.1,"2,388",30.0,178.6,"35,564",37.5,"1,144",47.9,88.2,83.1
REM4,Remoteness area,Remote Australia,2019,Females,714,"143,138",498.6,482.7,1.1,288,40.4,190.5,"5,539",40.9,165,57.4,110.9,79.1
REM4,Remoteness area,Remote Australia,2020,Females,729,"144,096",506.1,481.5,1.17,324,44.4,213.2,"6,422",47.2,170,52.5,115.1,77.8
REM4,Remoteness area,Remote Australia,2021,Females,797,"144,637",551.2,514.0,1.2,342,43.0,218.5,"6,024",44.1,170,49.7,111.4,78.6
REM4,Remoteness area,Remote Australia,2022,Females,850,"145,316",584.7,525.2,1.14,383,45.1,242.1,"7,246",53.0,213,55.5,138.2,77.1
REM4,Remoteness area,Remote Australia,2023,Females,824,"146,641",561.9,494.2,1.15,375,45.5,234.1,"6,549",47.6,188,50.1,119.6,77.5
REM5,Remoteness area,Very Remote Australia,2019,Females,446,"92,935",480.3,657.4,1.5,286,64.0,340.1,"6,314",70.0,173,60.6,207.1,67.0
REM5,Remoteness area,Very Remote Australia,2020,Females,421,"93,009",452.7,599.0,1.46,273,64.8,318.6,"6,605",73.3,161,59.0,186.4,66.9
REM5,Remoteness area,Very Remote Australia,2021,Females,447,"93,058",480.3,643.1,1.5,264,59.0,302.1,"5,497",61.0,152,57.7,175.0,69.3
REM5,Remoteness area,Very Remote Australia,2022,Females,553,"93,445",591.5,749.4,1.63,336,60.9,378.5,"7,615",84.4,209,62.0,236.8,67.8
REM5,Remoteness area,Very Remote Australia,2023,Females,511,"94,198",542.1,665.5,1.54,309,60.5,345.9,"6,705",73.9,193,62.6,216.2,70.0
REM8,Remoteness area,Unknown/missing,2019,Females,214,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2020,Females,159,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2021,Females,107,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2022,Females,171,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2023,Females,262,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM9,Remoteness area,Australia (total),2019,Females,"79,874","12,757,605",626.1,437.5,1.0,"21,533",27.0,151.2,"335,692",28.5,"10,181",47.3,73.1,84.9
REM9,Remoteness area,Australia (total),2020,Females,"76,712","12,920,609",593.7,410.2,1.0,"20,901",27.2,143.1,"326,077",27.4,"9,884",47.3,69.6,84.6
REM9,Remoteness area,Australia (total),2021,Females,"82,068","12,936,002",634.4,427.4,1.0,"21,923",26.7,147.5,"334,958",28.2,"9,971",45.5,69.0,84.8
REM9,Remoteness area,Australia (total),2022,Females,"91,015","13,104,250",694.5,461.0,1.0,"23,392",25.7,156.0,"356,594",29.7,"10,578",45.2,72.6,85.0
REM9,Remoteness area,Australia (total),2023,Females,"86,951","13,420,187",647.9,430.9,1.0,"22,513",25.9,147.5,"341,630",27.8,"10,307",45.8,69.2,84.6
REM1,Remoteness area,Major Cities of Australia,2019,Persons,"108,866","18,332,891",593.8,495.3,0.95,"35,197",32.3,184.6,"580,735",33.9,"17,219",48.9,91.6,82.5
REM1,Remoteness area,Major Cities of Australia,2020,Persons,"105,559","18,573,344",568.3,466.6,0.95,"34,208",32.4,175.0,"557,321",32.1,"16,707",48.8,86.9,82.4
REM1,Remoteness area,Major Cities of Australia,2021,Persons,"112,222","18,542,539",605.2,482.9,0.95,"35,240",31.4,178.4,"564,315",32.7,"16,667",47.3,85.9,82.7
REM1,Remoteness area,Major Cities of Australia,2022,Persons,"125,607","18,792,594",668.4,526.7,0.96,"37,892",30.2,190.4,"604,276",34.6,"17,636",46.5,90.2,82.9
REM1,Remoteness area,Major Cities of Australia,2023,Persons,"119,180","19,342,421",616.2,487.3,0.95,"36,034",30.2,178.2,"575,614",32.1,"16,967",47.1,85.1,82.7
REM2,Remoteness area,Inner Regional Australia,2019,Persons,"37,726","4,450,234",847.7,559.9,1.07,"12,764",33.8,225.5,"187,242",46.1,"6,343",49.7,117.4,81.5
REM2,Remoteness area,Inner Regional Australia,2020,Persons,"36,318","4,509,471",805.4,523.2,1.07,"12,445",34.3,214.5,"180,774",44.0,"6,197",49.8,112.1,81.3
REM2,Remoteness area,Inner Regional Australia,2021,Persons,"38,990","4,564,631",854.2,541.9,1.07,"13,028",33.4,219.4,"189,044",45.7,"6,258",48.0,111.4,81.5
REM2,Remoteness area,Inner Regional Australia,2022,Persons,"43,223","4,625,321",934.5,578.3,1.05,"13,651",31.6,226.1,"193,230",46.3,"6,617",48.5,115.1,81.9
REM2,Remoteness area,Inner Regional Australia,2023,Persons,"41,972","4,686,617",895.6,549.5,1.07,"13,518",32.2,222.3,"192,783",45.7,"6,503",48.1,112.9,81.6
REM3,Remoteness area,Outer Regional Australia,2019,Persons,"16,461","2,058,055",799.8,593.8,1.14,"6,380",38.8,253.3,"100,666",52.9,"3,377",52.9,140.1,79.7
REM3,Remoteness area,Outer Regional Australia,2020,Persons,"16,065","2,071,827",775.4,564.5,1.15,"6,248",38.9,243.7,"98,754",51.7,"3,311",53.0,135.7,79.4
REM3,Remoteness area,Outer Regional Australia,2021,Persons,"16,875","2,082,667",810.3,575.6,1.13,"6,434",38.1,245.4,"100,138",52.3,"3,269",50.8,131.4,79.7
REM3,Remoteness area,Outer Regional Australia,2022,Persons,"18,332","2,098,412",873.6,601.1,1.1,"6,881",37.5,256.4,"101,952",53.1,"3,341",48.5,130.8,79.9
REM3,Remoteness area,Outer Regional Australia,2023,Persons,"18,025","2,117,625",851.2,576.5,1.12,"6,601",36.6,246.3,"99,434",51.5,"3,306",50.1,128.9,80.0
REM4,Remoteness area,Remote Australia,2019,Persons,"1,766","296,379",595.7,604.4,1.16,864,48.9,272.5,"16,642",59.2,485,56.1,157.0,75.4
REM4,Remoteness area,Remote Australia,2020,Persons,"1,803","298,349",604.3,599.6,1.22,904,50.2,281.4,"17,132",60.6,484,53.5,155.3,74.9
REM4,Remoteness area,Remote Australia,2021,Persons,"1,901","299,965",633.6,615.0,1.21,947,49.8,286.3,"16,815",59.3,508,53.6,157.4,75.1
REM4,Remoteness area,Remote Australia,2022,Persons,"2,009","301,745",665.9,621.7,1.13,"1,025",51.0,307.4,"19,288",67.8,579,56.5,180.1,74.6
REM4,Remoteness area,Remote Australia,2023,Persons,"1,988","304,153",653.6,596.6,1.16,984,49.5,291.4,"17,399",60.8,531,54.0,161.8,75.2
REM5,Remoteness area,Very Remote Australia,2019,Persons,"1,093","197,267",553.9,755.7,1.45,741,67.8,403.2,"16,089",84.0,452,61.0,245.7,66.2
REM5,Remoteness area,Very Remote Australia,2020,Persons,"1,041","196,257",530.5,705.0,1.44,701,67.3,379.0,"16,575",87.1,423,60.4,227.9,66.4
REM5,Remoteness area,Very Remote Australia,2021,Persons,"1,141","195,610",583.2,785.7,1.55,719,63.1,382.3,"15,193",80.2,431,59.9,229.4,68.4
REM5,Remoteness area,Very Remote Australia,2022,Persons,"1,231","196,328",627.0,807.8,1.47,780,63.4,409.1,"17,164",90.5,501,64.2,266.0,68.1
REM5,Remoteness area,Very Remote Australia,2023,Persons,"1,201","198,062",606.1,748.5,1.46,774,64.5,402.2,"17,078",89.5,461,59.6,240.4,67.9
REM8,Remoteness area,Unknown/missing,2019,Persons,648,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2020,Persons,514,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2021,Persons,341,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2022,Persons,537,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM8,Remoteness area,Unknown/missing,2023,Persons,765,,668.0,577.4,1.0750000000000002,,,,,,,,,
REM9,Remoteness area,Australia (total),2019,Persons,"166,560","25,334,826",657.4,522.0,1.0,"56,461",33.9,202.8,"912,904",38.7,"28,239",50.0,103.8,81.8
REM9,Remoteness area,Australia (total),2020,Persons,"161,300","25,649,248",628.9,491.1,1.0,"54,927",34.1,192.6,"880,379",36.9,"27,398",49.9,98.7,81.7
REM9,Remoteness area,Australia (total),2021,Persons,"171,469","25,685,412",667.6,507.2,1.0,"56,665",33.0,195.7,"893,170",37.5,"27,320",48.2,97.0,82.0
REM9,Remoteness area,Australia (total),2022,Persons,"190,939","26,014,399",734.0,548.4,1.0,"60,638",31.8,207.4,"944,509",39.3,"28,935",47.7,101.6,82.2
REM9,Remoteness area,Australia (total),2023,Persons,"183,131","26,652,777",687.1,512.7,1.0,"58,468",31.9,197.2,"913,179",37.2,"28,112",48.1,97.1,82.0
SEG1,Socioeconomic group,Quintile 1 (lowest),2019,Males,"21,666","2,569,972",843.0,738.6,1.2,"9,702",44.8,347.0,"161,718",67.3,"5,167",53.3,189.1,77.1
SEG1,Socioeconomic group,Quintile 1 (lowest),2020,Males,"21,230","2,584,578",821.4,703.8,1.21,"9,533",44.9,335.8,"159,655",66.2,"4,972",52.2,179.9,77.1
SEG1,Socioeconomic group,Quintile 1 (lowest),2021,Males,"22,329","2,578,566",865.9,720.7,1.21,"9,742",43.6,337.8,"156,530",65.2,"4,908",50.4,174.7,77.4
SEG1,Socioeconomic group,Quintile 1 (lowest),2022,Males,"25,089","2,589,876",968.7,792.0,1.22,"10,386",41.4,359.1,"166,562",69.3,"5,236",50.4,186.5,78.1
SEG1,Socioeconomic group,Quintile 1 (lowest),2023,Males,"23,707","2,633,979",900.0,731.9,1.21,"10,027",42.3,343.5,"162,253",66.5,"5,085",50.7,179.0,77.8
SEG2,Socioeconomic group,Quintile 2,2019,Males,"20,897","2,526,992",827.0,686.8,1.11,"8,506",40.7,298.8,"136,272",57.9,"4,402",51.8,159.2,78.8
SEG2,Socioeconomic group,Quintile 2,2020,Males,"20,303","2,553,084",795.2,646.3,1.11,"8,266",40.7,284.0,"130,834",55.1,"4,271",51.7,151.4,78.6
SEG2,Socioeconomic group,Quintile 2,2021,Males,"21,186","2,556,161",828.8,653.4,1.09,"8,385",39.6,283.3,"131,433",55.5,"4,241",50.6,148.0,78.9
SEG2,Socioeconomic group,Quintile 2,2022,Males,"23,630","2,587,689",913.2,706.3,1.09,"9,114",38.6,304.4,"139,158",58.3,"4,520",49.6,155.8,79.3
SEG2,Socioeconomic group,Quintile 2,2023,Males,"22,834","2,647,577",862.4,665.0,1.1,"8,651",37.9,286.9,"133,428",54.7,"4,291",49.6,146.4,79.3
SEG3,Socioeconomic group,Quintile 3,2019,Males,"16,337","2,469,583",661.5,591.3,0.96,"6,528",40.0,242.2,"107,487",46.4,"3,278",50.2,125.2,79.0
SEG3,Socioeconomic group,Quintile 3,2020,Males,"16,030","2,512,145",638.1,558.2,0.96,"6,323",39.4,228.3,"102,253",43.5,"3,205",50.7,118.9,79.2
SEG3,Socioeconomic group,Quintile 3,2021,Males,"17,056","2,535,408",672.7,573.5,0.96,"6,406",37.6,227.7,"103,129",43.6,"3,183",49.7,116.2,79.8
SEG3,Socioeconomic group,Quintile 3,2022,Males,"19,000","2,581,177",736.1,614.9,0.95,"6,924",36.4,241.9,"107,884",44.9,"3,359",48.5,120.4,79.8
SEG3,Socioeconomic group,Quintile 3,2023,Males,"18,641","2,649,346",703.6,584.0,0.97,"6,832",36.7,235.6,"107,837",43.8,"3,366",49.3,118.8,79.7
SEG4,Socioeconomic group,Quintile 4,2019,Males,"14,010","2,492,982",562.0,556.0,0.9,"5,328",38.0,208.2,"91,092",38.6,"2,704",50.8,106.9,79.9
SEG4,Socioeconomic group,Quintile 4,2020,Males,"13,519","2,538,773",532.5,515.9,0.89,"5,092",37.7,192.9,"82,495",34.4,"2,584",50.7,99.0,79.8
SEG4,Socioeconomic group,Quintile 4,2021,Males,"14,566","2,555,958",569.9,537.6,0.9,"5,482",37.6,205.2,"91,088",37.8,"2,707",49.4,103.0,80.0
SEG4,Socioeconomic group,Quintile 4,2022,Males,"16,385","2,605,776",628.8,585.3,0.9,"5,757",35.1,212.5,"93,242",38.1,"2,788",48.4,104.0,80.5
SEG4,Socioeconomic group,Quintile 4,2023,Males,"15,773","2,686,133",587.2,543.7,0.9,"5,601",35.5,203.4,"90,401",35.9,"2,727",48.7,100.1,80.3
SEG5,Socioeconomic group,Quintile 5 (highest),2019,Males,"13,338","2,515,413",530.3,485.1,0.79,"4,509",33.8,166.2,"72,314",30.5,"2,248",49.9,84.4,81.4
SEG5,Socioeconomic group,Quintile 5 (highest),2020,Males,"13,143","2,537,753",517.9,462.4,0.79,"4,506",34.3,163.3,"71,777",30.1,"2,282",50.6,84.6,81.3
SEG5,Socioeconomic group,Quintile 5 (highest),2021,Males,"14,025","2,520,999",556.3,478.3,0.8,"4,514",32.2,163.0,"70,420",29.9,"2,166",48.0,80.3,82.0
SEG5,Socioeconomic group,Quintile 5 (highest),2022,Males,"15,444","2,543,229",607.3,511.0,0.79,"4,771",30.9,173.0,"74,660",31.5,"2,265",47.5,83.9,82.1
SEG5,Socioeconomic group,Quintile 5 (highest),2023,Males,"14,709","2,609,978",563.6,469.6,0.78,"4,455",30.3,159.4,"69,968",28.8,"2,097",47.1,76.5,82.1
SEG8,Socioeconomic group,Unknown/missing,2019,Males,438,,659.4,501.25,0.985,,,,,,,,,
SEG8,Socioeconomic group,Unknown/missing,2020,Males,363,,659.4,501.25,0.985,,,,,,,,,
SEG8,Socioeconomic group,Unknown/missing,2021,Males,239,,659.4,501.25,0.985,,,,,,,,,
SEG8,Socioeconomic group,Unknown/missing,2022,Males,376,,659.4,501.25,0.985,,,,,,,,,
SEG8,Socioeconomic group,Unknown/missing,2023,Males,516,,659.4,501.25,0.985,,,,,,,,,
SEG9,Socioeconomic group,Australia (total),2019,Males,"86,686","12,577,221",689.2,617.8,1.0,"34,928",40.3,256.2,"577,212",48.9,"18,058",51.7,135.5,79.0
SEG9,Socioeconomic group,Australia (total),2020,Males,"84,588","12,728,639",664.5,582.6,1.0,"34,026",40.2,244.1,"554,302",46.5,"17,514",51.5,128.7,78.9
SEG9,Socioeconomic group,Australia (total),2021,Males,"89,401","12,749,410",701.2,597.0,1.0,"34,742",38.9,245.9,"558,212",46.9,"17,349",49.9,126.0,79.4
SEG9,Socioeconomic group,Australia (total),2022,Males,"99,924","12,910,149",774.0,646.9,1.0,"37,246",37.3,261.2,"587,915",48.9,"18,357",49.3,131.9,79.7
SEG9,Socioeconomic group,Australia (total),2023,Males,"96,180","13,232,590",726.8,604.8,1.0,"35,955",37.4,249.2,"571,549",46.5,"17,805",49.5,126.2,79.6
SEG1,Socioeconomic group,Quintile 1 (lowest),2019,Females,"18,747","2,562,175",731.7,507.5,1.16,"5,855",31.2,204.3,"92,620",39.3,"2,843",48.6,101.4,82.9
SEG1,Socioeconomic group,Quintile 1 (lowest),2020,Females,"18,013","2,576,938",699.0,479.3,1.17,"5,681",31.5,195.3,"91,626",38.8,"2,772",48.8,98.2,82.8
SEG1,Socioeconomic group,Quintile 1 (lowest),2021,Females,"19,376","2,567,299",754.7,503.2,1.18,"6,033",31.1,203.4,"92,973",39.6,"2,835",47.0,98.5,83.0
SEG1,Socioeconomic group,Quintile 1 (lowest),2022,Females,"21,525","2,582,595",833.5,546.8,1.19,"6,436",29.9,215.6,"99,681",42.3,"3,018",46.9,103.7,83.2
SEG1,Socioeconomic group,Quintile 1 (lowest),2023,Females,"20,186","2,624,146",769.2,505.0,1.17,"6,167",30.6,204.1,"95,258",39.9,"3,022",49.0,101.7,83.0
SEG2,Socioeconomic group,Quintile 2,2019,Females,"18,873","2,547,919",740.7,478.3,1.09,"5,011",26.6,170.4,"76,280",32.7,"2,386",47.6,83.3,84.9
SEG2,Socioeconomic group,Quintile 2,2020,Females,"18,038","2,574,204",700.7,448.1,1.09,"4,896",27.1,161.8,"74,039",31.5,"2,297",46.9,78.6,84.4
SEG2,Socioeconomic group,Quintile 2,2021,Females,"19,328","2,572,879",751.2,470.3,1.1,"5,257",27.2,171.6,"78,750",33.6,"2,396",45.6,80.8,84.4
SEG2,Socioeconomic group,Quintile 2,2022,Females,"21,098","2,606,548",809.4,499.3,1.08,"5,553",26.3,178.5,"81,758",34.5,"2,536",45.7,84.4,84.6
SEG2,Socioeconomic group,Quintile 2,2023,Females,"20,332","2,662,962",763.5,471.6,1.09,"5,269",25.9,166.6,"76,901",31.8,"2,389",45.3,77.9,84.5
SEG3,Socioeconomic group,Quintile 3,2019,Females,"14,909","2,514,211",593.0,417.5,0.95,"3,965",26.6,139.5,"61,005",26.2,"1,861",46.9,67.1,84.9
SEG3,Socioeconomic group,Quintile 3,2020,Females,"14,545","2,560,085",568.1,395.0,0.96,"3,943",27.1,134.7,"59,979",25.4,"1,833",46.5,64.5,84.8
SEG3,Socioeconomic group,Quintile 3,2021,Females,"15,499","2,583,925",599.8,407.8,0.95,"4,052",26.1,135.3,"60,859",25.6,"1,869",46.1,64.5,84.8
SEG3,Socioeconomic group,Quintile 3,2022,Females,"17,371","2,630,676",660.3,442.9,0.96,"4,411",25.4,145.2,"66,726",27.6,"1,979",44.9,67.4,85.0
SEG3,Socioeconomic group,Quintile 3,2023,Females,"16,589","2,700,370",614.3,412.9,0.96,"4,292",25.9,138.6,"65,338",26.4,"1,941",45.2,64.2,84.5
SEG4,Socioeconomic group,Quintile 4,2019,Females,"13,486","2,530,126",533.0,406.5,0.93,"3,490",25.9,130.2,"56,349",23.9,"1,636",46.9,62.1,85.3
SEG4,Socioeconomic group,Quintile 4,2020,Females,"12,830","2,579,836",497.3,374.9,0.91,"3,272",25.5,118.2,"52,544",21.9,"1,507",46.1,55.5,85.4
SEG4,Socioeconomic group,Quintile 4,2021,Females,"13,984","2,598,129",538.2,395.8,0.93,"3,516",25.1,123.9,"54,657",22.6,"1,549",44.1,55.7,85.6
SEG4,Socioeconomic group,Quintile 4,2022,Females,"15,338","2,646,940",579.5,421.1,0.91,"3,665",23.9,128.4,"58,705",23.9,"1,625",44.3,58.3,85.7
SEG4,Socioeconomic group,Quintile 4,2023,Females,"14,814","2,726,213",543.4,397.0,0.92,"3,578",24.2,122.3,"56,036",22.2,"1,563",43.7,54.5,85.2
SEG5,Socioeconomic group,Quintile 5 (highest),2019,Females,"13,642","2,601,403",524.4,364.2,0.83,"3,049",22.4,105.7,"46,124",19.1,"1,348",44.2,47.8,86.9
SEG5,Socioeconomic group,Quintile 5 (highest),2020,Females,"13,127","2,627,711",499.6,342.3,0.83,"2,986",22.7,101.0,"45,201",18.6,"1,393",46.7,48.6,86.8
SEG5,Socioeconomic group,Quintile 5 (highest),2021,Females,"13,773","2,611,852",527.3,351.3,0.82,"2,978",21.6,100.6,"45,616",18.9,"1,277",42.9,44.5,86.9
SEG5,Socioeconomic group,Quintile 5 (highest),2022,Females,"15,501","2,635,511",588.2,383.7,0.83,"3,203",20.7,107.3,"47,346",19.6,"1,345",42.0,46.3,87.0
SEG5,Socioeconomic group,Quintile 5 (highest),2023,Females,"14,758","2,703,066",546.0,357.2,0.83,"3,028",20.5,100.2,"44,725",18.0,"1,284",42.4,43.9,86.6
